system	file_id	file_name	text	sound_quality	silence	pronunciation	worker_id
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	4	3	4	1
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	4	2	4	2
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	4	5	5	3
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	5	5	5	4
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	5	5	5	5
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	5	2	4	6
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	4	4	4	7
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	5	4	5	8
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	5	5	5	9
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	5	5	5	10
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	5	5	5	11
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	5	5	5	12
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	5	5	5	13
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	4	5	5	14
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	5	4	4	15
azure_achara	1001	sentence_1.wav	คุณคิดเห็นอย่างไร	5	5	5	16
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	4	2	4	1
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	4	3	3	2
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	4	3	4	3
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	5	5	5	4
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	5	5	5	5
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	4	2	3	6
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	4	3	4	7
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	4	4	4	8
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	5	4	4	9
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	5	4	4	10
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	4	4	3	11
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	4	3	4	12
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	3	2	3	13
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	4	3	5	14
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	4	3	5	15
azure_achara	1002	sentence_2.wav	ดีไซน์สวย ทันสมัย	5	3	5	16
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	3	2	4	1
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	4	3	4	2
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	4	4	4	3
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	5	4	5	4
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	4	2	3	5
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	3	2	2	6
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	4	3	4	7
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	5	5	5	8
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	4	3	4	9
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	5	3	4	10
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	4	2	3	11
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	4	3	4	12
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	4	2	2	13
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	4	5	5	14
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	4	4	5	15
azure_achara	1003	sentence_3.wav	มันดูเหมือนว่า การยืนยันของจดหมายนี้ทำให้เขาผิดหวัง	5	3	4	16
azure_achara	1004	sentence_4.wav	สามีหรือภริยาไม่ให้ความช่วยเหลืออุปการะเลี้ยงดูอีกฝ่ายหนึ่งตามสมควร	4	3	4	1
azure_achara	1004	sentence_4.wav	สามีหรือภริยาไม่ให้ความช่วยเหลืออุปการะเลี้ยงดูอีกฝ่ายหนึ่งตามสมควร	4	3	3	2
azure_achara	1004	sentence_4.wav	สามีหรือภริยาไม่ให้ความช่วยเหลืออุปการะเลี้ยงดูอีกฝ่ายหนึ่งตามสมควร	3	2	2	3
azure_achara	1004	sentence_4.wav	สามีหรือภริยาไม่ให้ความช่วยเหลืออุปการะเลี้ยงดูอีกฝ่ายหนึ่งตามสมควร	5	5	4	4
azure_achara	1004	sentence_4.wav	สามีหรือภริยาไม่ให้ความช่วยเหลืออุปการะเลี้ยงดูอีกฝ่ายหนึ่งตามสมควร	4	3	4	5
azure_achara	1004	sentence_4.wav	สามีหรือภริยาไม่ให้ความช่วยเหลืออุปการะเลี้ยงดูอีกฝ่ายหนึ่งตามสมควร	3	3	2	6
azure_achara	1004	sentence_4.wav	สามีหรือภริยาไม่ให้ความช่วยเหลืออุปการะเลี้ยงดูอีกฝ่ายหนึ่งตามสมควร	3	4	4	7
azure_achara	1004	sentence_4.wav	สามีหรือภริยาไม่ให้ความช่วยเหลืออุปการะเลี้ยงดูอีกฝ่ายหนึ่งตามสมควร	5	3	3	8
azure_achara	1004	sentence_4.wav	สามีหรือภริยาไม่ให้ความช่วยเหลืออุปการะเลี้ยงดูอีกฝ่ายหนึ่งตามสมควร	4	3	4	9
azure_achara	1004	sentence_4.wav	สามีหรือภริยาไม่ให้ความช่วยเหลืออุปการะเลี้ยงดูอีกฝ่ายหนึ่งตามสมควร	5	3	4	10
azure_achara	1004	sentence_4.wav	สามีหรือภริยาไม่ให้ความช่วยเหลืออุปการะเลี้ยงดูอีกฝ่ายหนึ่งตามสมควร	4	4	3	11
